WKT,fid,id,@id,access,bridge,fixme,foot,highway,lanes,layer,motorcar,name,name:etymology,name:etymology:wikidata,service,short_name,sidewalk,smoothness,surface,Var_min,Var_max,Var_mean,geometry,start,end,surface_encoded,length
"LINESTRING (121.1133108 14.7038972,121.1133851 14.703883,121.1134522 14.7038642,121.113524 14.7038505,121.1135812 14.7038335,121.1136138 14.7038175,121.1137091 14.7037571,121.1137808 14.7037195,121.1138841 14.7036637,121.1139458 14.7036158,121.1139994 14.70357,121.1140195 14.7035502)",99,way/895405823,way/895405823,,,,,path,1.0,,,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1133108 14.7038972, 121.1133851 14.703883, 121.1134522 14.7038642, 121.113524 14.7038505, 121.1135812 14.7038335, 121.1136138 14.7038175, 121.1137091 14.7037571, 121.1137808 14.7037195, 121.1138841 14.7036637, 121.1139458 14.7036158, 121.1139994 14.70357, 121.1140195 14.7035502)","(121.1133108, 14.7038972)","(121.1140195, 14.7035502)",0,0.0008024359491154145
"LINESTRING (121.1131621 14.7045588,121.1132102 14.7045348,121.1132927 14.7045102,121.1135763 14.7044395,121.113704 14.7044107,121.1138016 14.7043928,121.1139525 14.7043642,121.1141624 14.7043311,121.1142381 14.7043201)",100,way/895405824,way/895405824,,,,,residential,1.0,,,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1131621 14.7045588, 121.1132102 14.7045348, 121.1132927 14.7045102, 121.1135763 14.7044395, 121.113704 14.7044107, 121.1138016 14.7043928, 121.1139525 14.7043642, 121.1141624 14.7043311, 121.1142381 14.7043201)","(121.1131621, 14.7045588)","(121.1142381, 14.7043201)",0,0.0011048347922874673
"LINESTRING (121.111341 14.6997305,121.1107972 14.700077,121.1105246 14.7009487)",101,way/895428121,way/895428121,private,,,,pedestrian,1.0,,no,,,,,,,intermediate,unknown,1.0,1.0,1.0,"LINESTRING (121.111341 14.6997305, 121.1107972 14.700077, 121.1105246 14.7009487)","(121.111341, 14.6997305)","(121.1105246, 14.7009487)",0,0.0015581405632934392
"LINESTRING (121.1108783 14.7070176,121.1110855 14.706728,121.1112012 14.7065675,121.1112783 14.7064241,121.1114272 14.7059779,121.1114392 14.7059124,121.1114286 14.7058288,121.1113467 14.7053621,121.1113564 14.705293,121.1113993 14.7052479,121.1114322 14.7052256,121.1115982 14.7052029,121.1117202 14.7051523,121.1118258 14.7050744,121.1120743 14.704743,121.1121038 14.7046996,121.1121406 14.7046373,121.1121688 14.7045873,121.1121996 14.7045212,121.1122258 14.7044764,121.1122574 14.7044479,121.1123009 14.7044125,121.1123767 14.7043597,121.1124608 14.7043065,121.1125718 14.7042378)",102,way/895508312,way/895508312,,,,,residential,1.0,,,Lingayen Street,,,,,,intermediate,unknown,1.0,3.0,2.0,"LINESTRING (121.1108783 14.7070176, 121.1110855 14.706728, 121.1112012 14.7065675, 121.1112783 14.7064241, 121.1114272 14.7059779, 121.1114392 14.7059124, 121.1114286 14.7058288, 121.1113467 14.7053621, 121.1113564 14.705293, 121.1113993 14.7052479, 121.1114322 14.7052256, 121.1115982 14.7052029, 121.1117202 14.7051523, 121.1118258 14.7050744, 121.1120743 14.704743, 121.1121038 14.7046996, 121.1121406 14.7046373, 121.1121688 14.7045873, 121.1121996 14.7045212, 121.1122258 14.7044764, 121.1122574 14.7044479, 121.1123009 14.7044125, 121.1123767 14.7043597, 121.1124608 14.7043065, 121.1125718 14.7042378)","(121.1108783, 14.7070176)","(121.1125718, 14.7042378)",0,0.003556800555799133
"LINESTRING (121.113082 14.701186,121.1131005 14.7013606)",103,way/902938214,way/902938214,,,,,residential,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.113082 14.701186, 121.1131005 14.7013606)","(121.113082, 14.701186)","(121.1131005, 14.7013606)",0,0.00017557736186543307
"LINESTRING (121.1153712 14.7018152,121.1153653 14.7016719,121.1153485 14.7016369,121.1153217 14.7016077,121.1152104 14.7015545,121.1151835 14.7015253,121.1150891 14.7013534,121.1150723 14.7013437,121.1150233 14.7013385,121.1150099 14.7013288)",104,way/902938824,way/902938824,destination,,,,residential,1.0,,no,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1153712 14.7018152, 121.1153653 14.7016719, 121.1153485 14.7016369, 121.1153217 14.7016077, 121.1152104 14.7015545, 121.1151835 14.7015253, 121.1150891 14.7013534, 121.1150723 14.7013437, 121.1150233 14.7013385, 121.1150099 14.7013288)","(121.1153712, 14.7018152)","(121.1150099, 14.7013288)",0,0.0006662733423174597
"LINESTRING (121.1128175 14.7043744,121.1126868 14.7043393,121.1126415 14.7043078,121.1125718 14.7042378)",105,way/1106980149,way/1106980149,,,,,residential,1.0,,,Lingayen Street,,,,,,intermediate,unknown,1.0,3.0,2.0,"LINESTRING (121.1128175 14.7043744, 121.1126868 14.7043393, 121.1126415 14.7043078, 121.1125718 14.7042378)","(121.1128175, 14.7043744)","(121.1125718, 14.7042378)",0,0.00028928965868375313
"LINESTRING (121.1136211 14.7039776,121.1139565 14.7039485,121.1147518 14.7038479,121.1149811 14.7037455)",106,way/1106999424,way/1106999424,,,,,path,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1136211 14.7039776, 121.1139565 14.7039485, 121.1147518 14.7038479, 121.1149811 14.7037455)","(121.1136211, 14.7039776)","(121.1149811, 14.7037455)",0,0.0013894233414522917
"LINESTRING (121.113864 14.7047171,121.1140195 14.7047767,121.1143018 14.7047449,121.114841 14.7046561,121.1149757 14.7046366,121.1150213 14.7045737,121.1150019 14.7043487)",107,way/1106999427,way/1106999427,private,,,,service,1.0,,,,,,,,,intermediate,unpaved,3.0,3.0,3.0,"LINESTRING (121.113864 14.7047171, 121.1140195 14.7047767, 121.1143018 14.7047449, 121.114841 14.7046561, 121.1149757 14.7046366, 121.1150213 14.7045737, 121.1150019 14.7043487)","(121.113864, 14.7047171)","(121.1150019, 14.7043487)",1,0.001436708358059118
"LINESTRING (121.1135091 14.704831,121.1135864 14.704793,121.113693 14.7046866,121.1137962 14.7046139,121.1138284 14.7045179,121.1141624 14.7044764,121.1150019 14.7043487)",108,way/1106999428,way/1106999428,private,,,,service,1.0,,,,,,,,,intermediate,unpaved,3.0,3.0,3.0,"LINESTRING (121.1135091 14.704831, 121.1135864 14.704793, 121.113693 14.7046866, 121.1137962 14.7046139, 121.1138284 14.7045179, 121.1141624 14.7044764, 121.1150019 14.7043487)","(121.1135091, 14.704831)","(121.1150019, 14.7043487)",1,0.0016499667310235244
