WKT,fid,id,@id,access,bridge,fixme,foot,highway,lanes,layer,motorcar,name,name:etymology,name:etymology:wikidata,service,short_name,sidewalk,smoothness,surface,Var_min,Var_max,Var_mean,geometry,start,end,surface_encoded,length
"LINESTRING (121.112025 14.7019027,121.1120045 14.7019054,121.1117803 14.7018384,121.1115968 14.7017829,121.1114553 14.7017342,121.1114449 14.7017247)",1,way/24158513,way/24158513,private,,,,residential,1.0,,,,,,,,,intermediate,unknown,1.0,1.0,1.0,"LINESTRING (121.112025 14.7019027, 121.1120045 14.7019054, 121.1117803 14.7018384, 121.1115968 14.7017829, 121.1114553 14.7017342, 121.1114449 14.7017247)","(121.112025, 14.7019027)","(121.1114449, 14.7017247)",0,0.0006101154074581336
"LINESTRING (121.1113412 14.6969337,121.1109816 14.6972079,121.1106589 14.6974627,121.1103281 14.6977167,121.1103006 14.6977517,121.1102866 14.6977874)",2,way/24158518,way/24158518,,,,,residential,1.0,,,A. Bonifacio Street,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1113412 14.6969337, 121.1109816 14.6972079, 121.1106589 14.6974627, 121.1103281 14.6977167, 121.1103006 14.6977517, 121.1102866 14.6977874)","(121.1113412, 14.6969337)","(121.1102866, 14.6977874)",0,0.0013633062763167426
"LINESTRING (121.1113803 14.7008077,121.1113916 14.7008281,121.111545 14.7009622,121.1117181 14.7011105,121.1118911 14.7012587,121.1120845 14.7014245)",3,way/24158573,way/24158573,destination,,name,,residential,1.0,,,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1113803 14.7008077, 121.1113916 14.7008281, 121.111545 14.7009622, 121.1117181 14.7011105, 121.1118911 14.7012587, 121.1120845 14.7014245)","(121.1113803, 14.7008077)","(121.1120845, 14.7014245)",0,0.0009375511519528808
"LINESTRING (121.1112262 14.6987796,121.1111848 14.6988109,121.1109892 14.6989297)",4,way/24158585,way/24158585,private,,,,residential,1.0,,no,,,,,,,intermediate,unknown,2.0,2.0,2.0,"LINESTRING (121.1112262 14.6987796, 121.1111848 14.6988109, 121.1109892 14.6989297)","(121.1112262, 14.6987796)","(121.1109892, 14.6989297)",0,0.00028075142861150727
"LINESTRING (121.1117349 14.7001651,121.1113822 14.7007824,121.1113803 14.7008077)",5,way/24158628,way/24158628,destination,,name,,residential,1.0,,,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1117349 14.7001651, 121.1113822 14.7007824, 121.1113803 14.7008077)","(121.1117349, 14.7001651)","(121.1113803, 14.7008077)",0,0.0007363259397346516
"LINESTRING (121.1123444 14.7015786,121.1122761 14.7015792,121.1122352 14.7015733,121.1122074 14.7015601,121.1121916 14.7015377,121.112178 14.7015045,121.1120505 14.7009918,121.1119716 14.7007047,121.1119268 14.7005461,121.111886 14.700402,121.1117729 14.7000988)",6,way/24158632,way/24158632,,,,,residential,1.0,,,A. Bonifacio Extension,,,,,,intermediate,unknown,2.0,2.0,2.0,"LINESTRING (121.1123444 14.7015786, 121.1122761 14.7015792, 121.1122352 14.7015733, 121.1122074 14.7015601, 121.1121916 14.7015377, 121.112178 14.7015045, 121.1120505 14.7009918, 121.1119716 14.7007047, 121.1119268 14.7005461, 121.111886 14.700402, 121.1117729 14.7000988)","(121.1123444, 14.7015786)","(121.1117729, 14.7000988)",0,0.0016679280329050495
"LINESTRING (121.1113307 14.6992808,121.1118162 14.6989504,121.112049 14.6987733)",7,way/24158657,way/24158657,private,,,,residential,1.0,,,,,,,,,intermediate,unknown,2.0,2.0,2.0,"LINESTRING (121.1113307 14.6992808, 121.1118162 14.6989504, 121.112049 14.6987733)","(121.1113307, 14.6992808)","(121.112049, 14.6987733)",0,0.0008797669247145624
"LINESTRING (121.1112262 14.6987796,121.1110547 14.6985614)",8,way/24158664,way/24158664,private,,,,service,1.0,,,,,,alley,,,intermediate,unknown,1.0,2.0,1.5,"LINESTRING (121.1112262 14.6987796, 121.1110547 14.6985614)","(121.1112262, 14.6987796)","(121.1110547, 14.6985614)",0,0.0002775310613285932
"LINESTRING (121.1114581 14.6972987,121.1112599 14.6974539,121.1106166 14.698019)",9,way/24158694,way/24158694,destination,,,,residential,1.0,,,Jupiter Street,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1114581 14.6972987, 121.1112599 14.6974539, 121.1106166 14.698019)","(121.1114581, 14.6972987)","(121.1106166, 14.698019)",0,0.00110798970328682
"LINESTRING (121.1106262 14.6980928,121.1107714 14.6982373,121.1109275 14.6983926,121.1109844 14.6984525)",10,way/24158710,way/24158710,destination,,,,residential,1.0,,,Humanity Village Road,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1106262 14.6980928, 121.1107714 14.6982373, 121.1109275 14.6983926, 121.1109844 14.6984525)","(121.1106262, 14.6980928)","(121.1109844, 14.6984525)",0,0.0005076605213469886
"LINESTRING (121.1106589 14.6974627,121.1104256 14.6971194,121.1097824 14.6961291,121.1096407 14.6959257,121.1095961 14.6958468,121.1095025 14.6957042,121.1093666 14.6954846,121.1092255 14.6952592,121.1091654 14.6951664,121.1091001 14.6950561,121.1090488 14.6949835,121.1088272 14.6946285,121.1086798 14.6944402,121.108531 14.6942373)",11,way/24158765,way/24158765,,,,,residential,1.0,,,General Villamor Street,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1106589 14.6974627, 121.1104256 14.6971194, 121.1097824 14.6961291, 121.1096407 14.6959257, 121.1095961 14.6958468, 121.1095025 14.6957042, 121.1093666 14.6954846, 121.1092255 14.6952592, 121.1091654 14.6951664, 121.1091001 14.6950561, 121.1090488 14.6949835, 121.1088272 14.6946285, 121.1086798 14.6944402, 121.108531 14.6942373)","(121.1106589, 14.6974627)","(121.108531, 14.6942373)",0,0.0038660597705774315
"LINESTRING (121.111545 14.7009622,121.1118549 14.7004531)",12,way/24158774,way/24158774,destination,,name,,service,1.0,,no,,,,alley,,,intermediate,unknown,2.0,2.0,2.0,"LINESTRING (121.111545 14.7009622, 121.1118549 14.7004531)","(121.111545, 14.7009622)","(121.1118549, 14.7004531)",0,0.0005960040436043828
"LINESTRING (121.1118911 14.7012587,121.1120234 14.7010371)",13,way/24158792,way/24158792,destination,,name,,service,1.0,,no,,,,alley,,,intermediate,unknown,,,1.0,"LINESTRING (121.1118911 14.7012587, 121.1120234 14.7010371)","(121.1118911, 14.7012587)","(121.1120234, 14.7010371)",0,0.0002580888412949722
"LINESTRING (121.1116857 14.7016394,121.1115968 14.7017829)",14,way/24158865,way/24158865,private,,,,residential,1.0,,,,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1116857 14.7016394, 121.1115968 14.7017829)","(121.1116857, 14.7016394)","(121.1115968, 14.7017829)",0,0.0001688059833033916
"LINESTRING (121.1116601 14.6975258,121.1115961 14.6974621,121.1114507 14.6975988,121.1114274 14.6976207)",15,way/24158891,way/24158891,,,,,footway,1.0,,,,,,,,,intermediate,unknown,1.0,1.0,1.0,"LINESTRING (121.1116601 14.6975258, 121.1115961 14.6974621, 121.1114507 14.6975988, 121.1114274 14.6976207)","(121.1116601, 14.6975258)","(121.1114274, 14.6976207)",0,0.00032184400106628693
"LINESTRING (121.1106575 14.6945613,121.110406 14.694889,121.1101483 14.6952283,121.1099068 14.6955461,121.1097615 14.6957706,121.1096407 14.6959257)",16,way/28321106,way/28321106,,,,,residential,1.0,,,General Capinpin Street,,,,Capinpin,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1106575 14.6945613, 121.110406 14.694889, 121.1101483 14.6952283, 121.1099068 14.6955461, 121.1097615 14.6957706, 121.1096407 14.6959257)","(121.1106575, 14.6945613)","(121.1096407, 14.6959257)",0,0.0017023116689033975
"LINESTRING (121.110649 14.6941551,121.1100793 14.6949169,121.109779 14.6953246,121.1096133 14.6955478,121.1095996 14.6955799,121.1095862 14.6956045,121.1095025 14.6957042)",17,way/28321109,way/28321109,,,,,residential,1.0,,,General Yengko Street,Flaviano Yengko,Q5458068,,Yengko,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.110649 14.6941551, 121.1100793 14.6949169, 121.109779 14.6953246, 121.1096133 14.6955478, 121.1095996 14.6955799, 121.1095862 14.6956045, 121.1095025 14.6957042)","(121.110649, 14.6941551)","(121.1095025, 14.6957042)",0,0.001928693287908978
"LINESTRING (121.110999 14.6963762,121.1110033 14.6963229,121.1109987 14.6961438,121.1109747 14.696039,121.1108779 14.6957689,121.1107117 14.6951022,121.110705 14.6950717,121.1107023 14.6950425,121.110695 14.6949448)",18,way/30438267,way/30438267,,,,,residential,1.0,,,General Antonio Luna Street,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.110999 14.6963762, 121.1110033 14.6963229, 121.1109987 14.6961438, 121.1109747 14.696039, 121.1108779 14.6957689, 121.1107117 14.6951022, 121.110705 14.6950717, 121.1107023 14.6950425, 121.110695 14.6949448)","(121.110999, 14.6963762)","(121.110695, 14.6949448)",0,0.0014726949560215838
"LINESTRING (121.1113412 14.6969337,121.1112616 14.6968112,121.1110892 14.6965206,121.110999 14.6963762,121.1103304 14.6953972)",19,way/30438268,way/30438268,,,,,residential,1.0,,,General Lucban Street,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1113412 14.6969337, 121.1112616 14.6968112, 121.1110892 14.6965206, 121.110999 14.6963762, 121.1103304 14.6953972)","(121.1113412, 14.6969337)","(121.1103304, 14.6953972)",0,0.0018397618922971893
"LINESTRING (121.1109816 14.6972079,121.1108833 14.697053,121.1105286 14.6964933,121.1104247 14.6963293,121.110249 14.6960725,121.1101586 14.6959412,121.1100474 14.6957797)",20,way/30438269,way/30438269,,,,,residential,1.0,,,General Malvar Street,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1109816 14.6972079, 121.1108833 14.697053, 121.1105286 14.6964933, 121.1104247 14.6963293, 121.110249 14.6960725, 121.1101586 14.6959412, 121.1100474 14.6957797)","(121.1109816, 14.6972079)","(121.1100474, 14.6957797)",0,0.0017068742887225625
"LINESTRING (121.1123444 14.7015786,121.1124055 14.7015792,121.1124364 14.7015869,121.1124625 14.7016048,121.1124821 14.7016325,121.1126039 14.702089,121.1126575 14.7022836,121.1127028 14.7024517,121.112757 14.7026523,121.1128052 14.7028308,121.1128401 14.7029603,121.1128883 14.7031389,121.1129185 14.7032509,121.1129725 14.7034777,121.112992 14.7036351,121.1129963 14.7036988,121.1129996 14.7038862,121.1129956 14.7039368,121.1129855 14.7039822,121.1129721 14.7040218,121.1128175 14.7043744)",21,way/34910176,way/34910176,,,,,residential,1.0,,,San Jose Street,,,,,,intermediate,unknown,1.0,2.0,1.5,"LINESTRING (121.1123444 14.7015786, 121.1124055 14.7015792, 121.1124364 14.7015869, 121.1124625 14.7016048, 121.1124821 14.7016325, 121.1126039 14.702089, 121.1126575 14.7022836, 121.1127028 14.7024517, 121.112757 14.7026523, 121.1128052 14.7028308, 121.1128401 14.7029603, 121.1128883 14.7031389, 121.1129185 14.7032509, 121.1129725 14.7034777, 121.112992 14.7036351, 121.1129963 14.7036988, 121.1129996 14.7038862, 121.1129956 14.7039368, 121.1129855 14.7039822, 121.1129721 14.7040218, 121.1128175 14.7043744)","(121.1123444, 14.7015786)","(121.1128175, 14.7043744)",0,0.0030018335805403035
"LINESTRING (121.1135851 14.7019063,121.1135251 14.7018726,121.1135488 14.7018477,121.1135662 14.7018049,121.1135705 14.7017612)",22,way/124171728,way/124171728,,,,,residential,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1135851 14.7019063, 121.1135251 14.7018726, 121.1135488 14.7018477, 121.1135662 14.7018049, 121.1135705 14.7017612)","(121.1135851, 14.7019063)","(121.1135705, 14.7017612)",0,0.00019330499143019398
"LINESTRING (121.1131618 14.7023233,121.1127475 14.7024404)",23,way/124171729,way/124171729,destination,,,,residential,1.0,,,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1131618 14.7023233, 121.1127475 14.7024404)","(121.1131618, 14.7023233)","(121.1127475, 14.7024404)",0,0.00043053095127114105
"LINESTRING (121.1098183 14.6995526,121.1098383 14.6995543,121.1104506 14.6994132,121.1106983 14.6993561,121.1108996 14.6993011,121.1109786 14.6992727,121.1110517 14.6992403)",24,way/124171732,way/124171732,private,,,,residential,1.0,,,,,,,,,intermediate,unknown,1.0,2.0,1.5,"LINESTRING (121.1098183 14.6995526, 121.1098383 14.6995543, 121.1104506 14.6994132, 121.1106983 14.6993561, 121.1108996 14.6993011, 121.1109786 14.6992727, 121.1110517 14.6992403)","(121.1098183, 14.6995526)","(121.1110517, 14.6992403)",0,0.0012752024752597341
"LINESTRING (121.1131534 14.7019576,121.1131425 14.7018042,121.1131163 14.7015013,121.1131005 14.7013606)",25,way/124171734,way/124171734,,,,yes,residential,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1131534 14.7019576, 121.1131425 14.7018042, 121.1131163 14.7015013, 121.1131005 14.7013606)","(121.1131534, 14.7019576)","(121.1131005, 14.7013606)",0,0.0005994021261513129
"LINESTRING (121.1104506 14.6994132,121.1104237 14.6993237,121.1103982 14.699251,121.1103771 14.6992131,121.1103615 14.699197)",26,way/124171735,way/124171735,private,,,,residential,1.0,,,,,,,,,intermediate,unknown,1.0,2.0,1.5,"LINESTRING (121.1104506 14.6994132, 121.1104237 14.6993237, 121.1103982 14.699251, 121.1103771 14.6992131, 121.1103615 14.699197)","(121.1104506, 14.6994132)","(121.1103615, 14.699197)",0,0.00023629329582643358
"LINESTRING (121.1137118 14.701744,121.1137583 14.7017383,121.1139594 14.7017137,121.1141715 14.7016839,121.114342 14.7016571,121.114361 14.7016428,121.1143706 14.7016194)",27,way/124171737,way/124171737,destination,,,,residential,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1137118 14.701744, 121.1137583 14.7017383, 121.1139594 14.7017137, 121.1141715 14.7016839, 121.114342 14.7016571, 121.114361 14.7016428, 121.1143706 14.7016194)","(121.1137118, 14.701744)","(121.1143706, 14.7016194)",0,0.0006852964500306547
"LINESTRING (121.1137673 14.7030341,121.1136634 14.7030599)",28,way/124171738,way/124171738,destination,,,,service,1.0,,,,,,alley,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1137673 14.7030341, 121.1136634 14.7030599)","(121.1137673, 14.7030341)","(121.1136634, 14.7030599)",0,0.00010705535952372118
"LINESTRING (121.1126039 14.702089,121.1131534 14.7019576,121.1135251 14.7018726)",29,way/124171740,way/124171740,,,,,residential,1.0,,,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1126039 14.702089, 121.1131534 14.7019576, 121.1135251 14.7018726)","(121.1126039, 14.702089)","(121.1135251, 14.7018726)",0,0.0009462872382074428
"LINESTRING (121.1118979 14.6985537,121.1119127 14.6985612,121.112049 14.6987733,121.1122924 14.6991708,121.1124008 14.6993635,121.1124008 14.6993823,121.1123954 14.6993998)",30,way/124171743,way/124171743,private,,,,residential,1.0,,,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1118979 14.6985537, 121.1119127 14.6985612, 121.112049 14.6987733, 121.1122924 14.6991708, 121.1124008 14.6993635, 121.1124008 14.6993823, 121.1123954 14.6993998)","(121.1118979, 14.6985537)","(121.1123954, 14.6993998)",0,0.0009930228535361576
"LINESTRING (121.1108011 14.6988349,121.1106832 14.6989292,121.110528 14.699051,121.1103615 14.699197)",31,way/124171749,way/124171749,private,,,,residential,1.0,,,Housing Street,,,,,,intermediate,unknown,1.0,1.0,1.0,"LINESTRING (121.1108011 14.6988349, 121.1106832 14.6989292, 121.110528 14.699051, 121.1103615 14.699197)","(121.1108011, 14.6988349)","(121.1103615, 14.699197)",0,0.0005697062969217393
"LINESTRING (121.1114473 14.6998081,121.1113887 14.6997001,121.1112048 14.6993769,121.111108 14.6992116,121.1109575 14.6989469,121.1108563 14.6987904,121.1108131 14.6987421,121.1107603 14.6986974,121.1106924 14.698649,121.1104945 14.698533,121.1103644 14.6984626,121.11031 14.6984308,121.1102577 14.6984088)",32,way/124171754,way/124171754,,,,,residential,1.0,,,A. Bonifacio Extension,,,,,,intermediate,unknown,1.0,3.0,2.0,"LINESTRING (121.1114473 14.6998081, 121.1113887 14.6997001, 121.1112048 14.6993769, 121.111108 14.6992116, 121.1109575 14.6989469, 121.1108563 14.6987904, 121.1108131 14.6987421, 121.1107603 14.6986974, 121.1106924 14.698649, 121.1104945 14.698533, 121.1103644 14.6984626, 121.11031 14.6984308, 121.1102577 14.6984088)","(121.1114473, 14.6998081)","(121.1102577, 14.6984088)",0,0.001891586192620187
"LINESTRING (121.1138111 14.70224,121.1137189 14.7022979,121.113578 14.7023849,121.113465 14.702447,121.1134053 14.7024736,121.1133377 14.7024979)",33,way/124171755,way/124171755,destination,,,,residential,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1138111 14.70224, 121.1137189 14.7022979, 121.113578 14.7023849, 121.113465 14.702447, 121.1134053 14.7024736, 121.1133377 14.7024979)","(121.1138111, 14.70224)","(121.1133377, 14.7024979)",0,0.0005406002526252856
"LINESTRING (121.1141448 14.7018326,121.1140981 14.7021078,121.1141945 14.7022535,121.1141932 14.7023234,121.1141852 14.7023815,121.1141602 14.7024325,121.113852 14.7028209)",34,way/124171758,way/124171758,destination,,,,residential,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1141448 14.7018326, 121.1140981 14.7021078, 121.1141945 14.7022535, 121.1141932 14.7023234, 121.1141852 14.7023815, 121.1141602 14.7024325, 121.113852 14.7028209)","(121.1141448, 14.7018326)","(121.113852, 14.7028209)",0,0.0011350206705753865
"LINESTRING (121.1102866 14.6977874,121.1102705 14.6978328,121.1101907 14.6980073,121.1101445 14.6980833,121.1100841 14.6981409,121.1100218 14.6981727,121.1099673 14.6981848,121.1093316 14.6982643,121.1092921 14.698306,121.1091721 14.6984821,121.1090967 14.6985948,121.1090037 14.6987072,121.1088858 14.6988057,121.1087842 14.6988607,121.1086357 14.6989141,121.108459 14.6989407,121.1078832 14.6989733,121.1077069 14.698979,121.1076734 14.6989724,121.1076513 14.6989614,121.1076366 14.6989416)",35,way/124171759,way/124171759,,,,,residential,2.0,,,A. Bonifacio Street,,,,,no,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1102866 14.6977874, 121.1102705 14.6978328, 121.1101907 14.6980073, 121.1101445 14.6980833, 121.1100841 14.6981409, 121.1100218 14.6981727, 121.1099673 14.6981848, 121.1093316 14.6982643, 121.1092921 14.698306, 121.1091721 14.6984821, 121.1090967 14.6985948, 121.1090037 14.6987072, 121.1088858 14.6988057, 121.1087842 14.6988607, 121.1086357 14.6989141, 121.108459 14.6989407, 121.1078832 14.6989733, 121.1077069 14.698979, 121.1076734 14.6989724, 121.1076513 14.6989614, 121.1076366 14.6989416)","(121.1102866, 14.6977874)","(121.1076366, 14.6989416)",0,0.003173167616678129
"LINESTRING (121.1131018 14.7021655,121.1126955 14.7022736)",36,way/124171767,way/124171767,private,,,,footway,1.0,,,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1131018 14.7021655, 121.1126955 14.7022736)","(121.1131018, 14.7021655)","(121.1126955, 14.7022736)",0,0.0004204346560354123
"LINESTRING (121.1136736 14.7021635,121.1138794 14.7021376,121.1140981 14.7021078,121.1145326 14.7020546,121.1153364 14.7019443)",37,way/124171771,way/124171771,destination,,,,residential,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1136736 14.7021635, 121.1138794 14.7021376, 121.1140981 14.7021078, 121.1145326 14.7020546, 121.1153364 14.7019443)","(121.1136736, 14.7021635)","(121.1153364, 14.7019443)",0,0.0016772216333512551
"LINESTRING (121.1100193 14.697396,121.1104256 14.6971194)",38,way/237101539,way/237101539,,,,,residential,1.0,,,Pineda Street,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1100193 14.697396, 121.1104256 14.6971194)","(121.1100193, 14.697396)","(121.1104256, 14.6971194)",0,0.0004915152591682444
"LINESTRING (121.1117181 14.7011105,121.1119383 14.7007581)",39,way/252721994,way/252721994,destination,,,,service,1.0,,no,Block 3-4,,,alley,,,intermediate,unknown,,,1.0,"LINESTRING (121.1117181 14.7011105, 121.1119383 14.7007581)","(121.1117181, 14.7011105)","(121.1119383, 14.7007581)",0,0.00041554037108433074
"LINESTRING (121.112485 14.7015837,121.112447 14.7013769)",40,way/252722014,way/252722014,,,,,path,1.0,,,,,,,,,intermediate,unknown,1.0,1.0,1.0,"LINESTRING (121.112485 14.7015837, 121.112447 14.7013769)","(121.112485, 14.7015837)","(121.112447, 14.7013769)",0,0.00021026231236390404
"LINESTRING (121.112772 14.7015765,121.112485 14.7015837,121.1124821 14.7016325)",41,way/252722016,way/252722016,,,,,footway,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.112772 14.7015765, 121.112485 14.7015837, 121.1124821 14.7016325)","(121.112772, 14.7015765)","(121.1124821, 14.7016325)",0,0.0003359763914760125
"LINESTRING (121.1114996 14.6995529,121.1114862 14.6995406,121.1113608 14.6993298,121.1113307 14.6992808,121.111199 14.6990708,121.1111957 14.6990552)",42,way/252722017,way/252722017,private,,,,residential,1.0,,,,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1114996 14.6995529, 121.1114862 14.6995406, 121.1113608 14.6993298, 121.1113307 14.6992808, 121.111199 14.6990708, 121.1111957 14.6990552)","(121.1114996, 14.6995529)","(121.1111957, 14.6990552)",0,0.0005848009323476013
"LINESTRING (121.1111214 14.6994349,121.1111053 14.6994667,121.1110939 14.6995069,121.1110926 14.6995445,121.1111402 14.6996638,121.1111409 14.6996878,121.1111268 14.6997047,121.1106996 14.6999888,121.1106701 14.7000186,121.1106494 14.7000557,121.110542 14.7004298,121.1105313 14.7004551,121.110506 14.7004649)",43,way/252722024,way/252722024,private,,,,service,1.0,,,,,,driveway,,,intermediate,unknown,1.0,1.0,1.0,"LINESTRING (121.1111214 14.6994349, 121.1111053 14.6994667, 121.1110939 14.6995069, 121.1110926 14.6995445, 121.1111402 14.6996638, 121.1111409 14.6996878, 121.1111268 14.6997047, 121.1106996 14.6999888, 121.1106701 14.7000186, 121.1106494 14.7000557, 121.110542 14.7004298, 121.1105313 14.7004551, 121.110506 14.7004649)","(121.1111214, 14.6994349)","(121.110506, 14.7004649)",0,0.0013307877001679663
"LINESTRING (121.1143323 14.7012269,121.1144705 14.7012124,121.1146399 14.7011981,121.1147742 14.7011851,121.1148812 14.7011692,121.1149338 14.7011553,121.1149912 14.701131,121.1153291 14.7009623,121.1154572 14.7009065)",44,way/252724612,way/252724612,destination,,,,residential,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1143323 14.7012269, 121.1144705 14.7012124, 121.1146399 14.7011981, 121.1147742 14.7011851, 121.1148812 14.7011692, 121.1149338 14.7011553, 121.1149912 14.701131, 121.1153291 14.7009623, 121.1154572 14.7009065)","(121.1143323, 14.7012269)","(121.1154572, 14.7009065)",0,0.0011861986685050463
"LINESTRING (121.114222 14.7030087,121.1142321 14.7030197,121.1141771 14.7031624,121.1141831 14.7031747,121.1147404 14.7031987)",45,way/260901194,way/260901194,,,,,path,1.0,,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.114222 14.7030087, 121.1142321 14.7030197, 121.1141771 14.7031624, 121.1141831 14.7031747, 121.1147404 14.7031987)","(121.114222, 14.7030087)","(121.1147404, 14.7031987)",0,0.0007393677562346371
"LINESTRING (121.1137439 14.7052135,121.1136822 14.7050932,121.1136299 14.7050109,121.113558 14.7049283,121.1134764 14.7048471,121.1133899 14.7047624,121.1132286 14.7046121,121.1131621 14.7045588,121.1130983 14.7045185)",46,way/482454409,way/482454409,,,,,residential,1.0,,,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1137439 14.7052135, 121.1136822 14.7050932, 121.1136299 14.7050109, 121.113558 14.7049283, 121.1134764 14.7048471, 121.1133899 14.7047624, 121.1132286 14.7046121, 121.1131621 14.7045588, 121.1130983 14.7045185)","(121.1137439, 14.7052135)","(121.1130983, 14.7045185)",0,0.000959559998187272
"LINESTRING (121.1128498 14.7045071,121.1128486 14.7044354,121.1128604 14.7043939)",47,way/482454411,way/482454411,,,,,footway,1.0,,,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1128498 14.7045071, 121.1128486 14.7044354, 121.1128604 14.7043939)","(121.1128498, 14.7045071)","(121.1128604, 14.7043939)",0,0.00011485502925945434
"LINESTRING (121.1128512 14.7046129,121.1128498 14.7045071)",48,way/482454413,way/482454413,,yes,,,footway,1.0,1.0,,,,,,,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1128512 14.7046129, 121.1128498 14.7045071)","(121.1128512, 14.7046129)","(121.1128498, 14.7045071)",0,0.00010580926235436904
"LINESTRING (121.1099673 14.6981848,121.1095728 14.6975655,121.1091675 14.6969586)",49,way/593463083,way/593463083,,,,,residential,1.0,,,General F. Macabulos Street,,,,Macabulos,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1099673 14.6981848, 121.1095728 14.6975655, 121.1091675 14.6969586)","(121.1099673, 14.6981848)","(121.1091675, 14.6969586)",0,0.001464068564147315
"LINESTRING (121.1101175 14.69903,121.1101166 14.6990146,121.1101746 14.6988526,121.1102547 14.6986675,121.1103333 14.6985183)",50,way/594263300,way/594263300,private,,,,residential,1.0,,no,,,,,,,intermediate,unknown,1.0,2.0,1.5,"LINESTRING (121.1101175 14.69903, 121.1101166 14.6990146, 121.1101746 14.6988526, 121.1102547 14.6986675, 121.1103333 14.6985183)","(121.1101175, 14.69903)","(121.1103333, 14.6985183)",0,0.0005578214378409572
"LINESTRING (121.1102547 14.6986675,121.1106832 14.6989292,121.1108996 14.6993011)",51,way/594263301,way/594263301,private,,,,service,1.0,,no,,,,alley,,,intermediate,unknown,1.0,1.0,1.0,"LINESTRING (121.1102547 14.6986675, 121.1106832 14.6989292, 121.1108996 14.6993011)","(121.1102547, 14.6986675)","(121.1108996, 14.6993011)",0,0.0009323720695634762
"LINESTRING (121.1106983 14.6993561,121.110528 14.699051,121.1101746 14.6988526)",52,way/594263302,way/594263302,private,,,,service,1.0,,no,,,,alley,,,intermediate,unknown,1.0,1.0,1.0,"LINESTRING (121.1106983 14.6993561, 121.110528 14.699051, 121.1101746 14.6988526)","(121.1106983, 14.6993561)","(121.1101746, 14.6988526)",0,0.0007546938414443014
"LINESTRING (121.1115834 14.697776,121.1109275 14.6983926)",53,way/594263304,way/594263304,destination,,,,residential,1.0,,,Venus Street,,,,,,intermediate,unknown,1.0,1.0,1.0,"LINESTRING (121.1115834 14.697776, 121.1109275 14.6983926)","(121.1115834, 14.697776)","(121.1109275, 14.6983926)",0,0.000900222400298114
"LINESTRING (121.1094489 14.6965606,121.1100193 14.697396,121.1102866 14.6977874)",54,way/594263306,way/594263306,,,,,residential,1.0,,,General Geronimo Street,,,,Geronimo,,intermediate,unknown,3.0,3.0,3.0,"LINESTRING (121.1094489 14.6965606, 121.1100193 14.697396, 121.1102866 14.6977874)","(121.1094489, 14.6965606)","(121.1102866, 14.6977874)",0,0.0014855233201674896
"LINESTRING (121.1118079 14.6980079,121.1119678 14.6982115)",55,way/594263307,way/594263307,private,,,,service,1.0,,,,,,alley,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1118079 14.6980079, 121.1119678 14.6982115)","(121.1118079, 14.6980079)","(121.1119678, 14.6982115)",0,0.00025888408602991146
