WKT,fid,id,@id,access,bridge,fixme,foot,highway,lanes,layer,motorcar,name,name:etymology,name:etymology:wikidata,service,short_name,sidewalk,smoothness,surface,Var_min,Var_max,Var_mean
"LINESTRING (121.1123942 14.7009513,121.1123502 14.7006984,121.1123006 14.700698,121.1122984 14.7006482)",66,way/594266980,way/594266980,,,,,path,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1121909 14.7005952,121.1122178 14.7006757,121.1122814 14.7009792)",67,way/594266982,way/594266982,,,,,path,,,,,,,,,,,,,,
"LINESTRING (121.1134288 14.7025969,121.1133377 14.7024979,121.1132987 14.7024489,121.1132765 14.7024133,121.1132497 14.7023627,121.1132129 14.7023309,121.1131618 14.7023233)",68,way/596079598,way/596079598,destination,,,,residential,,,,,,,,,,,,3,3,3
"LINESTRING (121.1124206 14.7007071,121.1124014 14.7006467,121.1123199 14.7002886)",69,way/596079599,way/596079599,,,,,path,,,,,,,,,,,,1,3,2
"LINESTRING (121.1121909 14.7005952,121.11216 14.7004891,121.1121192 14.7003494,121.112081 14.7002048,121.1120952 14.7001779,121.1121185 14.7001555,121.1122298 14.7001224)",70,way/596079600,way/596079600,,,,,path,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1127079 14.7001976,121.1123199 14.7002886,121.1121192 14.7003494)",71,way/596079601,way/596079601,,,,,path,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1134315 14.700245,121.1134315 14.7005212,121.1134199 14.7005585)",72,way/596082043,way/596082043,,,,,path,,,,,,,,,,,,3,3,3
"LINESTRING (121.112025 14.7019027,121.1120374 14.7018911,121.1120997 14.7016914,121.1121111 14.7016641,121.1121279 14.7016433)",73,way/596082044,way/596082044,private,,name,,residential,,,,,,,,,,,,1,2,1.5
"LINESTRING (121.1128052 14.7028308,121.1128298 14.7028245)",74,way/596082045,way/596082045,,,,,residential,,,,,,,,,,,,,,
"LINESTRING (121.1128401 14.7029603,121.1131679 14.7028764,121.1132612 14.7028913,121.1133872 14.7028783,121.1134127 14.702925)",75,way/596082046,way/596082046,,,,,residential,,,no,,,,,,,,,2,3,2.5
"LINESTRING (121.1136829 14.7025689,121.113578 14.7023849)",76,way/596082047,way/596082047,destination,,,,service,,,,,,,alley,,,,,3,3,3
"LINESTRING (121.1139961 14.7023841,121.1138794 14.7021376)",77,way/596082048,way/596082048,destination,,,,service,,,,,,,alley,,,,,3,3,3
"LINESTRING (121.1138076 14.7024392,121.1137189 14.7022979)",78,way/596082049,way/596082049,destination,,,,service,,,,,,,alley,,,,,3,3,3
"LINESTRING (121.1139013 14.7023792,121.1138111 14.70224)",79,way/596082050,way/596082050,destination,,,,service,,,,,,,alley,,,,,3,3,3
"LINESTRING (121.1128883 14.7031389,121.1130995 14.7030904)",80,way/596164543,way/596164543,,,,,footway,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1141114 14.7029101,121.1140231 14.7028784,121.113852 14.7028209,121.1137917 14.7028006)",81,way/596164547,way/596164547,destination,,,,residential,,,,,,,,,,,,3,3,3
"LINESTRING (121.1137206 14.7032255,121.1136634 14.7030599)",82,way/596164548,way/596164548,destination,,,,residential,,,,,,,,,,,,3,3,3
"LINESTRING (121.1136634 14.7030599,121.1129475 14.7032434)",83,way/596164549,way/596164549,destination,,,,residential,,,no,,,,,,,,,2,3,2.5
"LINESTRING (121.1114449 14.7017247,121.111448 14.7017069,121.1116277 14.7013917)",84,way/726574325,way/726574325,private,,,,residential,,,,,,,,,,,,,,
"LINESTRING (121.1114925 14.6998876,121.1114473 14.6998081)",85,way/726574326,way/726574326,,yes,,,residential,,"1",,A. Bonifacio Extension,,,,,,,,3,3,3
"LINESTRING (121.1122949 14.7013846,121.112447 14.7013769,121.1127039 14.7013593,121.1127066 14.7013833,121.1131005 14.7013606)",86,way/726574328,way/726574328,,,,,path,,,,,,,,,,,,1,3,2
"LINESTRING (121.1123942 14.7009513,121.1122814 14.7009792,121.1122023 14.7009987)",87,way/726574329,way/726574329,,,,,path,,,,,,,,,,,,2,2,2
"LINESTRING (121.1122023 14.7009987,121.1122949 14.7013846)",88,way/726574330,way/726574330,,,,,path,,,,,,,,,,,,1,1,1
"LINESTRING (121.1117803 14.7018384,121.1118227 14.701758,121.1118684 14.7016706)",89,way/797207912,way/797207912,private,,,,residential,,,,,,,,,,,,,,
"LINESTRING (121.1143323 14.7012269,121.1141147 14.7012535,121.1139027 14.7012794,121.1137016 14.7013039)",90,way/894137266,way/894137266,destination,,,,residential,,,,,,,,,,,unpaved,3,3,3
"LINESTRING (121.1145326 14.7020546,121.1145841 14.7018042)",91,way/894148063,way/894148063,destination,,,,residential,,,,,,,,,,,,3,3,3
"LINESTRING (121.1154572 14.7009065,121.1160077 14.7007191)",92,way/894148064,way/894148064,destination,,,,residential,,,,,,,,,,,,3,3,3
"LINESTRING (121.1129428 14.7044287,121.1128604 14.7043939)",93,way/894520854,way/894520854,,,,,residential,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1130585 14.7044941,121.1129428 14.7044287)",94,way/894520855,way/894520855,,yes,,,residential,,"1",,,,,,,,,,2,3,2.5
"LINESTRING (121.1130983 14.7045185,121.1130585 14.7044941)",95,way/894520856,way/894520856,,,,,residential,,,,,,,,,,,,2,2,2
"LINESTRING (121.1128523 14.7046301,121.1128512 14.7046129)",96,way/894528181,way/894528181,,,,,footway,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1128604 14.7043939,121.1128175 14.7043744)",97,way/894528182,way/894528182,,,,,residential,,,,,,,,,,,,2,2,2
"LINESTRING (121.1135812 14.7038335,121.1135897 14.7038739,121.1136071 14.7039368,121.1136211 14.7039776,121.1136259 14.7041132,121.113652 14.7042144,121.1136682 14.704278,121.113704 14.7044107)",98,way/895405822,way/895405822,,,,,path,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1133108 14.7038972,121.1133851 14.703883,121.1134522 14.7038642,121.113524 14.7038505,121.1135812 14.7038335,121.1136138 14.7038175,121.1137091 14.7037571,121.1137808 14.7037195,121.1138841 14.7036637,121.1139458 14.7036158,121.1139994 14.70357,121.1140195 14.7035502)",99,way/895405823,way/895405823,,,,,path,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1131621 14.7045588,121.1132102 14.7045348,121.1132927 14.7045102,121.1135763 14.7044395,121.113704 14.7044107,121.1138016 14.7043928,121.1139525 14.7043642,121.1141624 14.7043311,121.1142381 14.7043201)",100,way/895405824,way/895405824,,,,,residential,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.111341 14.6997305,121.1107972 14.700077,121.1105246 14.7009487)",101,way/895428121,way/895428121,private,,,,pedestrian,,,no,,,,,,,,,1,1,1
"LINESTRING (121.1108783 14.7070176,121.1110855 14.706728,121.1112012 14.7065675,121.1112783 14.7064241,121.1114272 14.7059779,121.1114392 14.7059124,121.1114286 14.7058288,121.1113467 14.7053621,121.1113564 14.705293,121.1113993 14.7052479,121.1114322 14.7052256,121.1115982 14.7052029,121.1117202 14.7051523,121.1118258 14.7050744,121.1120743 14.704743,121.1121038 14.7046996,121.1121406 14.7046373,121.1121688 14.7045873,121.1121996 14.7045212,121.1122258 14.7044764,121.1122574 14.7044479,121.1123009 14.7044125,121.1123767 14.7043597,121.1124608 14.7043065,121.1125718 14.7042378)",102,way/895508312,way/895508312,,,,,residential,,,,Lingayen Street,,,,,,,,1,3,2
"LINESTRING (121.113082 14.701186,121.1131005 14.7013606)",103,way/902938214,way/902938214,,,,,residential,,,,,,,,,,,,3,3,3
"LINESTRING (121.1153712 14.7018152,121.1153653 14.7016719,121.1153485 14.7016369,121.1153217 14.7016077,121.1152104 14.7015545,121.1151835 14.7015253,121.1150891 14.7013534,121.1150723 14.7013437,121.1150233 14.7013385,121.1150099 14.7013288)",104,way/902938824,way/902938824,destination,,,,residential,,,no,,,,,,,,,3,3,3
